mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1207531452178956,0.02940688562276172,0.11770744323730468,0.005345580726615582,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.522911051212938,0.4597014925373134,0.4636118598382749,0.44021739130434784,0.4484536082474227,0.46697908062805943,0.029161851587846895,19
0.6477387428283692,0.016701782005046736,0.0417020320892334,0.002927499048580632,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.33497536945812806,0.2717391304347826,0.3778801843317972,0.26666666666666666,0.3669724770642202,0.32364676559111893,0.04666444580082673,40
1.2163972854614258,0.06422981701821759,0.053429603576660156,0.01500112503460044,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.3333333333333333,0.26519337016574585,0.36619718309859156,0.25510204081632654,0.35944700460829493,0.3158545864044584,0.046899068620162625,42
1.930417537689209,0.10071866740169384,0.09279699325561523,0.009106266696311746,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.3444976076555024,0.24175824175824176,0.3568075117370892,0.2647058823529412,0.3744292237442922,0.31643969344961337,0.05297791872844762,41
0.4466410160064697,0.019385357072670233,0.03114495277404785,0.0039484247136341525,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.4435483870967742,0.3192488262910798,0.44609665427509293,0.3644067796610169,0.4015151515151515,0.39496315976782304,0.04834136909531425,39
0.8476589679718017,0.030506112444716627,0.046770763397216794,0.003241758310379923,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.47540983606557374,0.3378995433789954,0.45038167938931295,0.37656903765690375,0.40892193308550184,0.40983640591525755,0.04944948975615158,36
1.6617361545562743,0.039071679738254754,0.0943443775177002,0.004365221303816008,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.504,0.33488372093023255,0.4367816091954023,0.37551020408163266,0.42696629213483145,0.41562836526841984,0.057471242523028404,34
0.46814661026000975,0.007398494560806745,0.02703700065612793,0.0016191729765469723,20,10,50,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.5249169435215947,0.4357142857142857,0.44,0.4068965517241379,0.41916167664670656,0.44533789152134495,0.04151352363374937,29
0.9338289260864258,0.0656396959823863,0.04607386589050293,0.003303518053000691,20,10,100,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.5292096219931272,0.4420289855072464,0.45791245791245794,0.42567567567567566,0.43636363636363634,0.4582380754904287,0.036982704083617916,25
1.5689119815826416,0.05087622889439524,0.08619508743286133,0.009886286854230633,20,10,200,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.5302013422818792,0.4509090909090909,0.4524590163934426,0.4175084175084175,0.4525993883792049,0.460735451094407,0.03721649825942948,23
0.4460927963256836,0.013757961686432734,0.033284997940063475,0.008944786315961715,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.3444976076555024,0.25274725274725274,0.3696682464454976,0.25125628140703515,0.3486238532110092,0.31335864829325943,0.050822210803991075,43
0.9652172088623047,0.08823068854234913,0.062060308456420896,0.02305804637127467,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.3269230769230769,0.22988505747126436,0.37735849056603776,0.2436548223350254,0.36363636363636365,0.3082915621863537,0.06083733903611463,45
1.9662641525268554,0.05566368335536881,0.08451242446899414,0.0011963059117173103,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.3490566037735849,0.22346368715083798,0.3523809523809524,0.24242424242424243,0.38009049773755654,0.3094831966934349,0.06369917161363874,44
0.4834878444671631,0.0352193085289337,0.03364849090576172,0.005095377650936239,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.49206349206349204,0.3142857142857143,0.42696629213483145,0.3598326359832636,0.41947565543071164,0.4025247579796026,0.06084513543442388,38
0.8524051666259765,0.0402993794858081,0.04467606544494629,0.0019930364076128928,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.49382716049382713,0.3394495412844037,0.42585551330798477,0.35294117647058826,0.41044776119402987,0.4045042305501668,0.05542679818845289,37
1.8967492580413818,0.11918530385794128,0.15657973289489746,0.056165616750767644,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.5060240963855421,0.33636363636363636,0.4367816091954023,0.3474576271186441,0.42696629213483145,0.41071865223961124,0.06254121344612597,35
0.4369216442108154,0.06920206601107952,0.0409846305847168,0.015156259389720905,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.5136986301369864,0.45323741007194246,0.4370860927152318,0.41379310344827586,0.41818181818181815,0.4471994109108509,0.03610785195093421,26
1.1422152042388916,0.1499420610562723,0.0600893497467041,0.01471353186806475,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.5310344827586206,0.43884892086330934,0.46204620462046203,0.4444444444444444,0.4303030303030303,0.46133541659797334,0.03636597715765142,22
1.8646522998809814,0.12904774201761202,0.06932859420776367,0.01650251509233487,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5324232081911263,0.45588235294117646,0.4524590163934426,0.4135593220338983,0.4553846153846154,0.4619417029888518,0.03867332369570825,21
